TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,amount,date,time,hour,day_of_week,is_weekend,month,balance_after,balance,merchant,narration,mode,transaction_type,debit_credit,merchant_encoded,channel_encoded,txn_type_encoded,anomaly_score_raw,log_amount,is_night,is_early_morning,is_round_amount,is_near_threshold,is_large_amount,balance_before,balance_zeroed_out,amount_to_balance_ratio,balance_utilization,balance_delta,rule_score,rule_flags,rule_reasons,ml_score,score_xgb_component,score_rf_component,score_velocity,score_spending_dev,score_time_context,fraud_type_predicted,fraud_probability,shap_top_feature,confidence_score,final_risk_score,risk_category,risk_icon,risk_description,rule_boost_applied,hard_override_applied,suppression_applied,dominant_signal,combined_reason,is_fraud_predicted
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,14.09,2023-04-11 16:29:14,16:29:14,16,1,0,4,5112.21,5112.21,M015,M015,ATM,Debit,DEBIT,14,0,1,0.0,2.7140322727797574,0,0,0,0,0,5126.3,0,0.002748035028182474,0.002748035028182474,14.090000000000146,0,[],[],0.1730836209644342,0.0,0.0,0.0,0.4856377347517571,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,376.24,2023-06-27 16:44:19,16:44:19,16,1,0,6,13758.91,13758.91,M052,M052,ATM,Debit,DEBIT,51,0,1,0.0,5.932881589675684,0,0,0,0,0,14135.15,0,0.026615450458576065,0.026615450458576065,376.2399999999998,15,['BALANCE_DROP_ALERT'],['Transaction of 376.24 is 94.2% of opening balance 399.57 on 2023-06-27 (threshold: 40%)'],0.1730836209644342,0.0,0.0,0.0,0.1347198032113757,0.0,Normal,0.001730836209644342,N/A,1.0,6.173083620964434,Very Low,✅,Normal transaction — no significant risk signals,6.0,False,True,RULES,Rule-based flags: Transaction of 376.24 is 94.2% of opening balance 399.57 on 2023-06-27 (threshold: 40%). ML score below threshold (0/100),0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,126.29,2023-07-10 18:16:08,18:16:08,18,0,0,7,1122.35,1122.35,M009,M009,Online,Debit,DEBIT,8,2,1,0.0,4.846467947882343,0,0,0,0,0,1248.6399999999999,0,0.10106110559841236,0.10106110559841236,126.28999999999996,0,[],[],0.1730836209644342,0.0,0.0,0.0,0.29344081148939755,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,184.5,2023-05-05 16:32:11,16:32:11,16,4,0,5,8569.06,8569.06,M002,M002,Online,Debit,DEBIT,1,2,1,0.0,5.22305488204749,0,0,0,0,0,8753.56,0,0.021074731340010235,0.021074731340010235,184.5,0,[],[],0.1730836209644342,0.0,0.0,7.5,0.19372795139044974,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,13.45,2023-10-16 17:51:24,17:51:24,17,0,0,10,7429.4,7429.4,M091,M091,Online,Credit,DEBIT,90,2,0,0.0,2.670694414558441,0,0,0,0,0,7442.849999999999,0,0.0018068606970855136,0.0018068606970855136,13.449999999999818,0,[],[],0.1730836209644342,0.0,0.0,0.0,0.4867340451874782,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,92.15,2023-04-03 17:15:01,17:15:01,17,0,0,4,781.68,781.68,M054,M054,ATM,Debit,DEBIT,53,0,1,0.0,4.5342110970475975,0,0,0,0,0,873.8299999999999,0,0.10533475075157461,0.10533475075157461,92.14999999999998,0,[],[],0.1730836209644342,0.0,0.0,7.5,0.3519221212948963,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,7.08,2023-02-15 16:36:48,16:36:48,16,2,0,2,13316.71,13316.71,M019,M019,ATM,Credit,DEBIT,18,0,0,0.0,2.089391872533004,0,0,0,0,0,13323.789999999999,0,0.0005313404563974367,0.0005313404563974367,7.079999999999927,0,[],[],0.1730836209644342,0.0,0.0,7.5,0.497645759993015,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,171.42,2023-05-08 17:47:59,17:47:59,17,0,0,5,2796.24,2796.24,M020,M020,Branch,Credit,DEBIT,19,1,0,0.0,5.1499333607817785,0,0,0,0,0,2967.66,0,0.05774322421563938,0.05774322421563938,171.42000000000007,0,[],[],0.1730836209644342,0.0,0.0,0.0,0.21613379592050022,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,106.23,2023-03-21 16:59:46,16:59:46,16,1,0,3,9095.14,9095.14,M035,M035,Branch,Credit,DEBIT,34,1,0,0.0,4.674976060232054,0,0,0,0,0,9201.369999999999,0,0.011543765356098485,0.011543765356098485,106.22999999999956,0,[],[],0.1730836209644342,0.0,0.0,7.5,0.3278032917090315,0.0,Normal,0.001730836209644342,N/A,1.0,0.1730836209644342,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,815.96,2023-03-31 16:06:57,16:06:57,16,4,0,3,1021.88,1021.88,M007,M007,ATM,Debit,DEBIT,6,0,1,0.0,6.705590134053119,0,0,0,0,0,1837.8400000000001,0,0.4437362685171086,0.4437362685171086,815.9600000000002,15,['BALANCE_DROP_ALERT'],"['Transaction of 815.96 is 79.8% of opening balance 1,021.88 on 2023-03-31 (threshold: 40%)']",0.1730836209644342,0.0,0.0,0.0,0.8879535919540202,0.0,Normal,0.001730836209644342,N/A,1.0,6.173083620964434,Very Low,✅,Normal transaction — no significant risk signals,6.0,False,True,RULES,"Rule-based flags: Transaction of 815.96 is 79.8% of opening balance 1,021.88 on 2023-03-31 (threshold: 40%). ML score below threshold (0/100)",0
