TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,amount,date,time,hour,day_of_week,is_weekend,month,balance_after,balance,merchant,narration,mode,transaction_type,debit_credit,merchant_encoded,channel_encoded,txn_type_encoded,anomaly_score_raw,log_amount,is_night,is_early_morning,is_round_amount,is_near_threshold,is_large_amount,balance_before,balance_zeroed_out,amount_to_balance_ratio,balance_utilization,balance_delta,rule_score,rule_flags,rule_reasons,ml_score,score_iso_component,score_xgb_component,score_rf_component,score_velocity,score_spending_dev,fraud_type_predicted,fraud_probability,shap_top_feature,confidence_score,final_risk_score,risk_category,risk_icon,risk_description,rule_boost_applied,hard_override_applied,suppression_applied,dominant_signal,combined_reason,is_fraud_predicted
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,14.09,2023-11-04 16:29:14,16:29:14,16,5,1,11,5112.21,5112.21,M015,M015,ATM,Debit,DEBIT,6,3,6,0.0,2.7140322727797574,0,0,0,0,0,5126.3,0,0.002748035028182474,0.002748035028182474,14.090000000000146,0,[],[],0.9712754695035142,0.0,0.0,0.0,0.0,0.9712754695035142,Normal,0.009712754695035141,N/A,1.0,0.29138264085105425,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,376.24,,12:00:00,12,0,0,1,13758.91,13758.91,M052,M052,ATM,Debit,DEBIT,3,3,6,0.0,5.932881589675684,0,0,0,0,0,14135.15,0,0.026615450458576065,0.026615450458576065,376.2399999999998,0,[],[],0.2694396064227514,0.0,0.0,0.0,0.0,0.2694396064227514,Normal,0.002694396064227514,N/A,1.0,0.08083188192682542,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,126.29,2023-10-07 18:16:08,18:16:08,18,5,1,10,1122.35,1122.35,M009,M009,Online,Debit,DEBIT,5,2,6,0.0,4.846467947882343,0,0,0,0,0,1248.6399999999999,0,0.10106110559841236,0.10106110559841236,126.28999999999996,0,[],[],0.5868816229787951,0.0,0.0,0.0,0.0,0.5868816229787951,Normal,0.005868816229787951,N/A,1.0,0.17606448689363852,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,184.5,2023-05-05 16:32:11,16:32:11,16,4,0,5,8569.06,8569.06,M002,M002,Online,Debit,DEBIT,1,2,6,0.0,5.22305488204749,0,0,0,0,0,8753.56,0,0.021074731340010235,0.021074731340010235,184.5,0,[],[],10.3874559027809,0.0,0.0,0.0,10.0,0.3874559027808995,Normal,0.103874559027809,N/A,1.0,3.11623677083427,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (10/100),0
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,13.45,,12:00:00,12,0,0,1,7429.4,7429.4,M091,M091,Online,Credit,DEBIT,4,2,5,0.0,2.670694414558441,0,0,0,0,0,7442.849999999999,0,0.0018068606970855136,0.0018068606970855136,13.449999999999818,0,[],[],0.9734680903749564,0.0,0.0,0.0,0.0,0.9734680903749564,Normal,0.009734680903749564,N/A,1.0,0.2920404271124869,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,92.15,2023-03-04 17:15:01,17:15:01,17,5,1,3,781.68,781.68,M054,M054,ATM,Debit,DEBIT,4,3,6,0.0,4.5342110970475975,0,0,0,0,0,873.8299999999999,0,0.10533475075157461,0.10533475075157461,92.14999999999998,0,[],[],0.7038442425897926,0.0,0.0,0.0,0.0,0.7038442425897926,Normal,0.007038442425897926,N/A,1.0,0.2111532727769378,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,7.08,,12:00:00,12,0,0,1,13316.71,13316.71,M019,M019,ATM,Credit,DEBIT,3,3,5,0.0,2.089391872533004,0,0,0,0,0,13323.789999999999,0,0.0005313404563974367,0.0005313404563974367,7.079999999999927,0,[],[],0.99529151998603,0.0,0.0,0.0,0.0,0.99529151998603,Normal,0.0099529151998603,N/A,1.0,0.298587455995809,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,171.42,2023-08-05 17:47:59,17:47:59,17,5,1,8,2796.24,2796.24,M020,M020,Branch,Credit,DEBIT,6,6,5,0.0,5.1499333607817785,0,0,0,0,0,2967.66,0,0.05774322421563938,0.05774322421563938,171.42000000000007,0,[],[],0.43226759184100044,0.0,0.0,0.0,0.0,0.43226759184100044,Normal,0.004322675918410004,N/A,1.0,0.12968027755230013,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (0/100),0
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,106.23,,12:00:00,12,0,0,1,9095.14,9095.14,M035,M035,Branch,Credit,DEBIT,1,6,5,0.0,4.674976060232054,0,0,0,0,0,9201.369999999999,0,0.011543765356098485,0.011543765356098485,106.22999999999956,0,[],[],0.655606583418063,0.0,0.0,0.0,0.0,0.655606583418063,Normal,0.00655606583418063,N/A,1.0,0.1966819750254189,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,815.96,,12:00:00,12,0,0,1,1021.88,1021.88,M007,M007,ATM,Debit,DEBIT,1,3,6,0.0,6.705590134053119,0,0,0,0,0,1837.8400000000001,0,0.4437362685171086,0.4437362685171086,815.9600000000002,0,[],[],1.7759071839080405,0.0,0.0,0.0,0.0,1.7759071839080405,Normal,0.017759071839080404,N/A,1.0,0.532772155172412,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (2/100),0
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,17.78,,12:00:00,12,0,0,1,7599.52,7599.52,M073,M073,Online,Credit,DEBIT,2,2,5,0.0,2.932792473780117,0,0,0,0,0,7617.3,0,0.002333854009424675,0.002333854009424675,17.779999999999745,0,[],[],0.9586336397916049,0.0,0.0,0.0,0.0,0.9586336397916049,Normal,0.009586336397916048,N/A,1.0,0.2875900919374814,Very Low,✅,Normal transaction — no significant risk signals,0.0,False,False,RULES,Rule-based flags: no rule flags. ML score below threshold (1/100),0
